Items,kg CO2-eq/g ,"Notes, Source"
Salmon,0.00237,"From literature (Silverman, 2009)"
Garlic,0.000407,"Substituted Onion {GLO} 855 production Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Carrots,0.000119,"LCA Food DK database (Carrot, conventional, washed and packed, from field)"
Lemon,0.02637,"From literature (Beccali et al., 2009)"
Potato,0.000142,LCA Food DK database (Potatoes from farm)
Saffron,0.0031711,"Substituted Lettuce {GLO} | 360 + 361 production, Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Honey,4.75E-05,"Substituted Molasses from sugar beet {CH} Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Greek Yogurt,0.00169,"Assuming yogurt, from cow milk (CA-QC) [production] Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Aleppo Pepper,1.09E-05,"Substituted Green bell pepper production alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Cumin,0.000766,"Substituted Sunflower Seed, Swiss integrated production {CH} Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Mint,0.0031711,"Substituted Lettuce {GLO} | 360 + 361 production, Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
"Boneless, Skinless Chicken Breasts",0.00171,"Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Cannellini Beans,0.000548,"Substitued Cannellini Beans: Fava Bean, Swiss integrated production [GLO] (Market For) Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Kale,0.0031711,"Substituted Lettuce {GLO} | 360 + 361 production, Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Thyme,0.0031711,"Substituted Lettuce {GLO} | 360 + 361 production, Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Dijon Mustard,0.003,"From literature (Khatri et al., 2017)"
Shallot,0.000407,"Substituted Onion {GLO} 855 production Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Red Wine Vinegar,0.00171,"Value for ""condiments"" (which includes vinegar) (Masset et al., 2014)"
Panko Breadcrumbs,0.00117,"From literature (Vázquez-Rowe et al., 2013)"
Mafalda Pasta,0.00101,"From literature (Hoolohan et al., 2013) "
Butternut Squash,0.00409,"Substitued Aubergine {GLO} market for, Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Rosemary,0.0031711,"Substituted Lettuce {GLO} | 360 + 361 production, Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Capers,0.000766,"Substituted Sunflower Seed, Swiss integrated production {CH}, Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Butter,0.00924,"Butter, from cow milk {GLO} production, Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Crème Fraîche,0.00233,"Substituted Cream, from cow milk {CA-QC} yogurt production, from cow milk,  Alloc Def , Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Verjus Blanc,0.00171,"Substituting value used for vinegar (Masset et al., 2014)"
Parmesan Cheese,0.072,"Cheese from cheese production, at plant (NL Mass), Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Roasted Walnuts,0.000261,"Groundnuts, with shell, at farm / US Mass, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Crushed Red Pepper Flakes,1.09E-05,"Assumed Green bell pepper production, Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Lamb Chopper Cheese,0.072,"Assumed Cheese from cheese production, at plant (NL Mass), Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Semi-Pearled Farro,0.000529,"Substituted Barley grain {DE} barley production, Alloc Def, Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Cage-Free Farm Eggs,0.00184,LCAFoodDK (Egg)
Apple,0.000248,"Apple {GLO} production, Alloc Def,Ecoinvent Database 3.4, default, ReCiPe 2016 v1.1 Hiearchist"
Purple Top Turnip,0.000142,"Substituted Potato, LCAFoodDK"
